Locale,Language,ShortDescription_80CharsOrLess
en-US,English (United States),Collaborate, create, and publish across platforms with your team.
en-AU,English (Australia),Collaborate, create, and publish across platforms with your team.
en-CA,English (Canada),Collaborate, create, and publish across platforms with your team.
en-GB,English (United Kingdom),Collaborate, create, and publish across platforms with your team.
en-IN,English (India),Collaborate, create, and publish across platforms with your team.
es-ES,Spanish (Spain),Collaborate, create, and publish across platforms with your team.
es-419,Spanish (Latin America),Collaborate, create, and publish across platforms with your team.
pt-BR,Portuguese (Brazil),Collaborate, create, and publish across platforms with your team.
pt-PT,Portuguese (Portugal),Collaborate, create, and publish across platforms with your team.
fr-FR,French (France),Collaborate, create, and publish across platforms with your team.
fr-CA,French (Canada),Collaborate, create, and publish across platforms with your team.
de-DE,German,Collaborate, create, and publish across platforms with your team.
it-IT,Italian,Collaborate, create, and publish across platforms with your team.
nl-NL,Dutch,Collaborate, create, and publish across platforms with your team.
sv-SE,Swedish,Collaborate, create, and publish across platforms with your team.
no-NO,Norwegian,Collaborate, create, and publish across platforms with your team.
da-DK,Danish,Collaborate, create, and publish across platforms with your team.
fi-FI,Finnish,Collaborate, create, and publish across platforms with your team.
pl-PL,Polish,Collaborate, create, and publish across platforms with your team.
cs-CZ,Czech,Collaborate, create, and publish across platforms with your team.
sk,Slovak,Collaborate, create, and publish across platforms with your team.
sl,Slovenian,Collaborate, create, and publish across platforms with your team.
hr,Croatian,Collaborate, create, and publish across platforms with your team.
ro,Romanian,Collaborate, create, and publish across platforms with your team.
hu-HU,Hungarian,Collaborate, create, and publish across platforms with your team.
el-GR,Greek,Collaborate, create, and publish across platforms with your team.
tr-TR,Turkish,Collaborate, create, and publish across platforms with your team.
ru-RU,Russian,Collaborate, create, and publish across platforms with your team.
sr,Serbian,Collaborate, create, and publish across platforms with your team.
uk,Ukrainian,Collaborate, create, and publish across platforms with your team.
ar,Arabic,Collaborate, create, and publish across platforms with your team.
iw-IL,Hebrew,Collaborate, create, and publish across platforms with your team.
hi-IN,Hindi,Collaborate, create, and publish across platforms with your team.
bn-BD,Bangla,Collaborate, create, and publish across platforms with your team.
ur,Urdu,Collaborate, create, and publish across platforms with your team.
ta-IN,Tamil,Collaborate, create, and publish across platforms with your team.
te-IN,Telugu,Collaborate, create, and publish across platforms with your team.
ml-IN,Malayalam,Collaborate, create, and publish across platforms with your team.
mr-IN,Marathi,Collaborate, create, and publish across platforms with your team.
gu,Gujarati,Collaborate, create, and publish across platforms with your team.
kn-IN,Kannada,Collaborate, create, and publish across platforms with your team.
pa,Punjabi,Collaborate, create, and publish across platforms with your team.
ja-JP,Japanese,Collaborate, create, and publish across platforms with your team.
ko-KR,Korean,Collaborate, create, and publish across platforms with your team.
zh-CN,Chinese (Simplified),Collaborate, create, and publish across platforms with your team.
zh-TW,Chinese (Traditional),Collaborate, create, and publish across platforms with your team.
zh-HK,Chinese (Hong Kong),Collaborate, create, and publish across platforms with your team.
th,Thai,Collaborate, create, and publish across platforms with your team.
vi,Vietnamese,Collaborate, create, and publish across platforms with your team.
id,Indonesian,Collaborate, create, and publish across platforms with your team.
ms,Malay,Collaborate, create, and publish across platforms with your team.
fil,Filipino,Collaborate, create, and publish across platforms with your team.
sw,Swahili,Collaborate, create, and publish across platforms with your team.
af,Afrikaans,Collaborate, create, and publish across platforms with your team.
ca,Catalan,Collaborate, create, and publish across platforms with your team.
eu-ES,Basque,Collaborate, create, and publish across platforms with your team.
gl-ES,Galician,Collaborate, create, and publish across platforms with your team.
et,Estonian,Collaborate, create, and publish across platforms with your team.
lv,Latvian,Collaborate, create, and publish across platforms with your team.
lt,Lithuanian,Collaborate, create, and publish across platforms with your team.
is-IS,Icelandic,Collaborate, create, and publish across platforms with your team.
km-KH,Khmer,Collaborate, create, and publish across platforms with your team.
lo-LA,Lao,Collaborate, create, and publish across platforms with your team.
my-MM,Burmese,Collaborate, create, and publish across platforms with your team.
ne-NP,Nepali,Collaborate, create, and publish across platforms with your team.
si-LK,Sinhala,Collaborate, create, and publish across platforms with your team.
mn-MN,Mongolian,Collaborate, create, and publish across platforms with your team.
kk,Kazakh,Collaborate, create, and publish across platforms with your team.
ky-KG,Kyrgyz,Collaborate, create, and publish across platforms with your team.
mk-MK,Macedonian,Collaborate, create, and publish across platforms with your team.
sq,Albanian,Collaborate, create, and publish across platforms with your team.
be,Belarusian,Collaborate, create, and publish across platforms with your team.
am,Amharic,Collaborate, create, and publish across platforms with your team.
hy-AM,Armenian,Collaborate, create, and publish across platforms with your team.
az-AZ,Azerbaijani,Collaborate, create, and publish across platforms with your team.
ka-GE,Georgian,Collaborate, create, and publish across platforms with your team.
rm,Romansh,Collaborate, create, and publish across platforms with your team.
