Locale,Language,BriefDescription,LongDescription
af,Afrikaans,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
sq,Albanian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
am,Amharic,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ar,Arabic,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
hy-AM,Armenian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
az-AZ,Azerbaijani,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
bn-BD,Bangla,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
eu-ES,Basque,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
be,Belarusian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
bg,Bulgarian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
my-MM,Burmese,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ca,Catalan,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
zh-HK,Chinese (Hong Kong),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
zh-CN,Chinese (Simplified),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
zh-TW,Chinese (Traditional),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
hr,Croatian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
cs-CZ,Czech,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
da-DK,Danish,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
nl-NL,Dutch,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
en-AU,English (Australia),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
en-CA,English (Canada),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
en-US,English (United States),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
en-GB,English (United Kingdom),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
en-IN,English (India),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
en-SG,English (Singapore),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
en-ZA,English (South Africa),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
et,Estonian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
fil,Filipino,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
fi-FI,Finnish,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
fr-CA,French (Canada),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
fr-FR,French (France),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
gl-ES,Galician,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ka-GE,Georgian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
de-DE,German,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
el-GR,Greek,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
gu,Gujarati,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
iw-IL,Hebrew,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
hi-IN,Hindi,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
hu-HU,Hungarian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
is-IS,Icelandic,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
id,Indonesian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
it-IT,Italian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ja-JP,Japanese,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
kn-IN,Kannada,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
kk,Kazakh,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
km-KH,Khmer,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ko-KR,Korean,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ky-KG,Kyrgyz,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
lo-LA,Lao,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
lv,Latvian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
lt,Lithuanian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
mk-MK,Macedonian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ms-MY,Malay (Malaysia),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ms,Malay,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ml-IN,Malayalam,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
